titulo_ci,precio_ci
Vino tinto Vega Sicilia Unico 2009 Ribera del Duero,354
Vino blanco seco Stratvs Único Selección Lanzarote,20
Caja Marqués de Riscal 150 Aniversario Gran Reserva Rioja,149
Vino tinto Mencía Crego e Monaguillo Monterrei,9
Estuche Marqués de Murrieta Reserva Rioja,59
Vino tinto 200 Monges Gran Reserva Rioja,49
Vino tinto El Puntido reserva Rioja,37
Vino tinto Rodríguez de Vera Almasa,11
Vino tinto Marqués de Riscal reserva Rioja botellín,10
Vino blanco Malvasía seco Bermejo Lanzarote,17
Vino tinto Castillo Ygay Gran Reserva Marqués de Murrieta Rioja,94
Vino blanco Ánima de Raimat Costers del Segre,
Vino tinto Mauro V.S. Castilla y León,59
Vino tinto Pies Negros Rioja Alavesa,12
Vino tinto Trus roble Ribera del Duero,11
Vino Tinto de Alicante Tarima Hil,13
Vino tinto Formiga de Vellut Priorato,16
Vino tinto Laya Almansa,6
Vino blanco El Perro Verde Rueda Uvas Felices,10
Vino tinto Ultreia Saint Jacques Mencía Bierzo Raúl Pérez Magnum,19
Vino tinto Pintia 2014 Toro,45
Vino tinto Ramón Bilbao Edición Limitada Rioja,12
Vino dulce Pedro Ximenez Old & Plus Sánchez Romate Jerez,39
Vino tinto Marqués de Murrieta Gran Reserva 2011 Rioja,47
Estuche Pago de los Capellanes crianza Ribera del Duero,59
Vino tinto Maqués de Riscal Reserva Rioja magnum con caja,32
Vino tinto Pesquera reserva Tempranillo Ribera del Duero,28
titulo_ci,precio_ci
Vino blanco Malvasía seco Bermejo Lanzarote,17
Vino tinto Mencía Crego e Monaguillo Monterrei,9
Vino tinto 200 Monges Gran Reserva Rioja,49
Vino tinto Vega Sicilia Unico 2009 Ribera del Duero,354
Vino tinto Ramón Bilbao Edición Limitada Rioja,12
Vino tinto Marqués de Riscal reserva Rioja botellín,10
Vino tinto Trus roble Ribera del Duero,11
Estuche Marqués de Murrieta Reserva Rioja,59
Vino tinto Castillo Ygay Gran Reserva Marqués de Murrieta Rioja,94
Vino tinto Pies Negros Rioja Alavesa,12
Vino tinto Rodríguez de Vera Almasa,11
Vino tinto El Puntido reserva Rioja,37
Caja Marqués de Riscal 150 Aniversario Gran Reserva Rioja,149
Vino blanco seco Stratvs Único Selección Lanzarote,20
Estuche Pago de los Capellanes crianza Ribera del Duero,59
Vino Tinto de Alicante Tarima Hil,13
Vino tinto Mauro V.S. Castilla y León,59
Vino tinto Maqués de Riscal Reserva Rioja magnum con caja,32
Vino blanco Ánima de Raimat Costers del Segre,
Vino tinto Pesquera reserva Tempranillo Ribera del Duero,28
Vino blanco El Perro Verde Rueda Uvas Felices,10
Vino tinto Pintia 2014 Toro,45
Vino tinto Formiga de Vellut Priorato,16
Vino tinto Laya Almansa,6
Vino tinto Ultreia Saint Jacques Mencía Bierzo Raúl Pérez Magnum,19
Vino dulce Pedro Ximenez Old & Plus Sánchez Romate Jerez,39
Vino tinto Marqués de Murrieta Gran Reserva 2011 Rioja,47
