titulo_ci,precio_ci
Vino tinto Vega Sicilia Unico 2009 Ribera del Duero,354
Vino tinto Marqués de Riscal reserva Rioja botellín,10
Vino tinto Valbuena 5º 2014 Vega Sicilia Ribera del Duero,"125,298,169"
Vino tinto Rodríguez de Vera Almasa,"11,4"
Vino tinto Finca Río Negro Guadalajara,14
Vino blanco seco Stratvs Único Selección Lanzarote,20
Vino tinto Trus roble Ribera del Duero,11
Caja Marqués de Riscal 150 Aniversario Gran Reserva Rioja,149
Vino tinto Gonzaga Club del Gourmet Rioja Alta,15
Vino tinto Pesquera Crianza Ribera del Duero,18
Estuche Marqués de Murrieta Reserva Rioja,59
Vino tinto Mencía Crego e Monaguillo Monterrei,9
Vino blanco Ánima de Raimat Costers del Segre,
Vino tinto Pago de los Capellanes crianza 2017 Ribera del Duero,"22,29"
Vino tinto Pies Negros Rioja Alavesa,12
Vino tinto Mauro V.S. Castilla y León,59
Estuche 3 botellas de vino tinto Pesquera Ribera del Duero,89
Estuche La Rioja Alta 904 Gran Reserva,135
Estuche 3 botellas Vino tinto Pago de los Capellanes Reserva Ribera del Duero,98
Vino tinto Pago de los Capellanes reserva Ribera del Duero,
Vino tinto Luis Cañas Selección de Familia Reserva Rioja,24
Vino blanco albariño Sin Palabras Castro Valdes Castrobrey,11
Vino tinto 200 Monges Gran Reserva Rioja,49
Vino tinto crianza Convento San Francisco Ribera del Duero,13
Vino tinto reserva Viña Tondonia Rioja Magnum con caja,69
Vino tinto Tomás Postigo Ribera del Duero,28
Vino fino Tío Pepe en Rama Décima Edición González Byass Jerez,14
Vino tinto Sierra Cantabria cuveé Rioja,19
Vino tinto monovarietal tempranillo El Señorito,16
Vino tinto Clio crianza Jumilla,40
Vino blanco Albariño 1583 de Fefiñanes,20
Vino tinto Álvaro Palacio Les Terrases  Priorato,33
Vino blanco Martín Codax albariño lías Rías Baixas,18
Vino tinto Lacima Ribeira Sacra,38
Estuche 2 botellas cava Anna de Codorníu Blanc de Blancs Brut con 2 copas flauta,
Vino Blanco Mar de Frades finca Valiñas albariño Rías Baixas,"27,24"
Vino blanco albariño Pazo Señorans Selección de Añada Rías Baixas,33
Vino blanco Rodríguez de Vera Chardonnay Almansa,9
Vino blanco El Perro Verde Rueda Uvas Felices Magnum,23
Vino tinto Matarromera crianza Ribera del Duero,20
Vino blanco albariño Pazo Baión Rias Baixas,18
Vino tinto Lacrimus Apasionado Rioja,9
Vino tinto Malleolus reserva Ribera del Duero,30
Vino tinto Alión 2015 Ribera del Duero Tempos Vega Sicilia,"62,169,35"
Vino tinto 904 Gran Reserva La Rioja Alta,50
Vino tinto Alonso del Yerro Ribera del Duero,21
Vino tinto La Montesa Rioja,13
Vino tinto Martinez Lacuesta Gran Reserva Rioja,29
Vino tinto Cruz de Alba Crianza Ribera del Duero,16
Vino tinto crianza Tomás Postigo Ribera del Duero magnum,63
Vino tinto The Invisible Man The Wine Gurus Rioja Alta,"18,37,18,14,11,24"
Cava rosado Grand Rosé Ars Collecta de Codorníu,18
Vino tinto Citius Alta Pavina Tierra de Castilla y León,19
Vino blanco El Marido de mi Amiga de Vallobera Rioja,6
Vino tinto Torre Muga Rioja Alta,62
Cava Agustí Torelló Mata Gran Reserva Brut Nature,
Vinos tintos Colección Legaris Ribera del Duero,
Vino rosado Vol d'Ánima de Raimat Costers del Segre,
Vino tinto Lucero 2014 Tempranillo Ribera del Duero,6
Vino blanco Habla del Mar variedades atlánticas,16
Vino dulce Victoria Nº 2 Jorge Ordoñez moscatel Málaga,18
Vino tinto ecológico HABLA Par Syrah Extremadura,22
Vino tinto Ultreia Saint Jacques Mencía Bierzo Raúl Pérez Magnum,19
Vino tinto Laya Almansa,6
Estuche vinos tintos Matarromera Ribera del Duero,99
Vino blanco fermentado en barrica Chivite Colección 125 Navarra,56
Vino oloroso dulce Matusalem González Byass Jerez,71
Vino blanco Martín Códax Gallaecia Rías Baixas,42
Vino blanco As Sortes Val do Bibei Godello Valdeorras,37
Vino tinto El Sequé Alicante,22
Vino blanco Frore de Carme albariño Rías Baixas,25
Vino tinto Roda I Reserva Rioja,47
Vino tinto con crianza Comenge El Orígen Ribera del Duero,16
Vino tinto Contino Viña del Olivo reserva Rioja,66
Vino tinto Marqués de Murrieta Reserva Rioja,23
Vino tinto Enrique Mendoza Reserva Santa Rosa Alicante,26
Vino blanco Priorato de Razamonde Ribeiro,13
Vino tinto Malleolus reserva Ribera del Duero magnum,
Vino tinto San Vicente Reserva Rioja,37
Vino dulce Piamater Moscatel,15
Vino tinto Marqués de Riscal 150 Aniversario Gran Reserva Rioja,53
Cava Juve & Camps Blanc de Noirs Reserva,27
Vino espumoso Burbujas de Baladiña Brut Nature albariño Rías Baixas,34
Vino tinto Beronia Edición Limitada Rioja,"13,7,16"
Vino blanco Enate chardonnay fermentado en barrica Somontano,
Vino tinto crianza Eguren Ugarte Rioja,9
Vino tinto M9 Abadía San Quirce Ribera del Duero,
Cava rosado Anna de Codorníu brut,13
Vino rosado Gurdos Prieto Picudo León,8
Vino tinto Taberner Cádiz,19
Vino blanco Viña Meín Ribeiro,12
Vino tinto Arzuaga Ribera del Duero,17
Vino rosado de Navarra colección 125 Chivite,26
Vino blanco Pazo Barrantes Albariño Rías Baixas,"15,14"
Vino tinto Finca Villacreces reserva Ribera del Duero,23
Vino tinto Bosque de Matasnos crianza Ribera del Duero,26
Vino tinto Viña Pedrosa Gran Reserva Ribera del Duero,75
Vino blanco albariño Contante Rías Baxias,"9,14"
Vino tinto Prado Enea Muga Gran Reserva Rioja,56
Vino blanco Itsasmendi 7 Bizkaiko Txakolina,14
